report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level,id
APR-2013,2013,APR,FR_APR_2013.pdf,220100321,BILASPUR-URKURA (DL)(RAIL VIKAS NIGAM LTD.),DL,,-,,-,151.52,,315.0,163.48,107.89,315.0,100.0,207.89,107.89,0.0,High,General Execution Delay,,Railways,Chhattisgarh,2.079,2.079,5.027,1,36.0,On Schedule,0,High,1020
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N22000095,ELECTRIFICATION OF MORADABAD-ROZA(RAILWAY ELECTRIFICATION),RAILWAY ELECTRIFICATION,,03/2011,,03/2011,129.17,,227.48,98.31,76.11,227.48,100.0,176.11,76.11,0.0,High,General Execution Delay,,Railways,Multi-State / Central,1.761,1.761,4.869,1,36.0,On Schedule,0,High,1021
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N16000110,CDU/VDU-II(CHENNAI PETROLEUM CORPORATION LIMITED),CHENNAI PETROLEUM CORPORATION LIMITED,,10/2012,,10/2012,333.99,,333.99,0.0,0.0,228.26,68.34,68.34,0.0,0.0,Low,On Schedule,,Other Infrastructure,Tamil Nadu,1.0,0.683,5.814,0,36.0,On Schedule,0,Low,1022
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N16000109,EURO-IV DHDT(CHENNAI PETROLEUM CORPORATION LIMITED),CHENNAI PETROLEUM CORPORATION LIMITED,,05/2010,,05/2010,2615.69,,2615.69,0.0,0.0,1981.03,75.74,75.74,0.0,0.0,Low,On Schedule,,Other Infrastructure,Tamil Nadu,1.0,0.757,7.87,0,36.0,On Schedule,0,Low,1023
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N16000073,DABHOL-BANGALORE PIPELINE PROJECT PHASE-I(GAS AUTHORITY OF INDIA LIMITED),GAS AUTHORITY OF INDIA LIMITED,,03/2012,,03/2012,4543.43,,4543.43,0.0,0.0,1709.62,37.63,37.63,0.0,0.0,Low,On Schedule,,Petroleum & Natural Gas,Karnataka,1.0,0.376,8.422,0,36.0,On Schedule,0,Low,1024
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N16000054,COMPRESSOR STATIONS (KAILARAS AND CHAINSA)(GAS AUTHORITY OF INDIA LIMITED),KAILARAS AND CHAINSA,,04/2011,,04/2011,1167.0,,1167.0,0.0,0.0,715.73,61.33,61.33,0.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.613,7.063,0,36.0,On Schedule,0,Low,1025
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N22000046,"PODAPAHAR-BANSPANI,(LD)(SER)(SOUTH EASTERN RAILWAY)",LD,,03/2006,,03/2006,129.74,,162.27,32.53,25.07,162.27,100.0,125.07,25.07,0.0,Medium,General Execution Delay,,Railways,Multi-State / Central,1.251,1.251,4.873,1,36.0,On Schedule,0,Medium,1026
MAR-2013,2013,MAR,FR_MAR_2013.pdf,220100279,"REWARI-ROHTAK (NL),NR(NORTHERN RAILWAY)",NL,,02/2010,,02/2010,149.38,,508.76,359.38,240.58,508.76,100.0,340.58,240.58,0.0,High,General Execution Delay,,Railways,Multi-State / Central,3.406,3.406,5.013,1,36.0,On Schedule,0,High,1027
MAR-2013,2013,MAR,FR_MAR_2013.pdf,N08000005,BATHINDA - AMMONIA PLANT FEEDSTOCK CHANGEOVER PROJ(NATIONAL FERTILISER LIMITED),NATIONAL FERTILISER LIMITED,,01/2013,,01/2013,1294.19,,1294.19,0.0,0.0,972.95,75.18,75.18,0.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.752,7.166,0,36.0,On Schedule,0,Low,1028
APR-2013,2013,APR,FR_APR_2013.pdf,220100260,REINGUNTA-GUNTAKAL(RE)(RAIL VIKAS NIGAM LTD.),RE,,04/2003,,04/2003,168.34,,343.36,175.02,103.97,343.36,100.0,203.97,103.97,0.0,High,General Execution Delay,,Railways,Multi-State / Central,2.04,2.04,5.132,1,36.0,On Schedule,0,High,1029
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N08000007,CAPACITY ENHANCEMENT OF VIJAIPUR-I PLANTS(NATIONAL FERTILISER LIMITED),NATIONAL FERTILISER LIMITED,,07/2011,,07/2011,325.0,,325.0,0.0,0.0,185.1,56.95,56.95,0.0,0.0,Low,On Schedule,,Other Infrastructure,Rajasthan,1.0,0.57,5.787,0,36.0,On Schedule,0,Low,1030
